objectif,id_indicateur_meq,id_indicateur_cdpvd,id_indicateur_css,annee_scolaire,cible
"Objectif 1",,"1","9.9.9.1",2022 - 2023,
"Objectif 1",,"1","9.9.9.1",2023 - 2024,0.725
"Objectif 1",,"1","9.9.9.1",2024 - 2025,0.75
"Objectif 1",,"1","9.9.9.1",2025 - 2026,0.775
"Objectif 1",,"1","9.9.9.1",2026 - 2027,0.8
"Objectif 2",,"2","9.9.9.2",2022 - 2023,
"Objectif 2",,"2","9.9.9.2",2023 - 2024,0.68
"Objectif 2",,"2","9.9.9.2",2024 - 2025,0.7
"Objectif 2",,"2","9.9.9.2",2025 - 2026,0.72
"Objectif 2",,"2","9.9.9.2",2026 - 2027,0.75
"Objectif 3",,"3","9.9.9.3",2022 - 2023,
"Objectif 3",,"3","9.9.9.3",2023 - 2024,0.6
"Objectif 3",,"3","9.9.9.3",2024 - 2025,0.65
"Objectif 3",,"3","9.9.9.3",2025 - 2026,0.7
"Objectif 3",,"3","9.9.9.3",2026 - 2027,0.75
