id_indicateur_cdpvd,id_indicateur_css,description_indicateur,cible,code_matiere,no_competence
1,,"Taux d'obtention d'un premier diplôme ou d'une première  qualification en 7 ans après l'entrée au secondaire",,,
2,,"Taux de réussite des garçons sur 7 ans",,,
3,,"Taux de réussite des EHDAA sur 7 ans",,,
4,,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve  obligatoire de lecture en français, langue d’enseignement,  4e année du primaire (réseau francophone, public)",0.70,"FRA400","1"
5,,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve  obligatoire de mathématique (compétence Résoudre),  6e année du primaire (réseaux francophone, public)",0.70,"MAT600","1"
6,,"Proportion d’élèves qui obtiennent entre 70 % et 100 % à l’épreuve  obligatoire d’écriture en français, langue d’enseignement,  2e année du secondaire (réseau francophone, public)",0.70,"132208","2"
8,,"Taux d'obtention d'un diplôme en formation professionnelle après 3 ans",,,
11,,"Taux de participation des élèves du secondaire du réseau public à un projet pédagogique particulier",0.70,,
1.1,,"Taux de diplomation annuel secondaire 5",,,
1.2,,"Taux de qualification annuel FMS",0.70,,
1.3,,"Taux de qualification annuel FPT",0.70,,
